SITE,CORE,SP,DBH,5YI,10YI,BHAGE
LR7,4,ALRU,50.6,0.2,0.3,93
LR7,5,PSME,79.8,2.3,4.1,87
LR7,2,PSME,95,1.6,3,77
LR7,1,PSME,108,2.8,6.3,76
LR8,1,PSME,140,1.2,3.5,122
LR8,3,PSME,79,1.9,4.2,121
LR8,2,ALRU,57.5,0.1,0.2,103
LR8,4,ALRU,32.5,0.1,0.2,81
LR9,4,ALRU,39.1,0.6,1.1,101
LR9,5,ALRU,65.4,0.3,0.7,100
LR9,6,ALRU,35,0.6,1.3,96
LR9,3,ALRU,22.3,2.8,5.6,19
LR9,1,ALRU,16.3,3.2,5.4,16
LR9,2,ALRU,16.7,2.4,4.5,14
